number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout,params_hidden_size,params_lr,params_n_epochs,params_num_layers,params_seq_len,state
122,0.6,2025-11-24 23:11:33.961494,2025-11-24 23:12:22.235280,0 days 00:00:48.273786,48,True,0.3506324349535247,32,0.0003425368160798559,100,1.0,49,COMPLETE
123,0.6,2025-11-24 23:11:43.343776,2025-11-24 23:12:24.826574,0 days 00:00:41.482798,48,False,0.2909177461573314,72,0.0003421369897872946,100,1.0,49,COMPLETE
124,0.6666666666666666,2025-11-24 23:11:45.187735,2025-11-24 23:12:26.614348,0 days 00:00:41.426613,48,False,0.28861503727422466,52,0.00033832486618634605,100,1.0,49,COMPLETE
125,0.5333333333333333,2025-11-24 23:12:22.264231,2025-11-24 23:13:04.380033,0 days 00:00:42.115802,48,False,0.29060607084383494,56,0.000504686912182919,100,1.0,49,COMPLETE
126,0.8,2025-11-24 23:12:24.858948,2025-11-24 23:13:06.978321,0 days 00:00:42.119373,48,False,0.2526127005719049,56,0.0004947612492838775,100,1.0,49,COMPLETE
127,0.6,2025-11-24 23:12:26.645925,2025-11-24 23:13:08.807580,0 days 00:00:42.161655,48,False,0.30165737792381614,52,0.0004978832726543772,100,1.0,49,COMPLETE
128,0.4714225589225589,2025-11-24 23:13:04.410752,2025-11-24 23:13:40.229779,0 days 00:00:35.819027,48,False,0.30464752103804377,52,0.0006504903762709874,100,1.0,35,PRUNED
129,0.4795875420875421,2025-11-24 23:13:07.025099,2025-11-24 23:13:42.929212,0 days 00:00:35.904113,48,False,0.18748208126167565,52,0.0010099084464973971,100,1.0,35,PRUNED
130,0.45446127946127945,2025-11-24 23:13:08.838857,2025-11-24 23:13:54.441217,0 days 00:00:45.602360,16,False,0.2135611244504621,56,0.0006719250798964364,50,1.0,35,PRUNED
131,0.49586640211640215,2025-11-24 23:13:40.257836,2025-11-24 23:14:04.801765,0 days 00:00:24.543929,32,False,0.2586021236265254,56,0.0004304841357585976,50,1.0,42,PRUNED
132,0.47999338624338633,2025-11-24 23:13:42.957820,2025-11-24 23:14:11.199784,0 days 00:00:28.241964,32,False,0.25398378322200793,56,0.0003046334782569839,50,2.0,42,PRUNED
133,0.5333333333333333,2025-11-24 23:13:54.470226,2025-11-24 23:14:36.386370,0 days 00:00:41.916144,48,False,0.2635472342175248,60,0.0056329419410053976,100,1.0,49,COMPLETE
134,0.6666666666666666,2025-11-24 23:14:04.828649,2025-11-24 23:14:46.199756,0 days 00:00:41.371107,48,False,0.25191879162968256,60,0.0005890593274994443,100,1.0,49,COMPLETE
135,0.6,2025-11-24 23:14:11.229112,2025-11-24 23:14:52.309194,0 days 00:00:41.080082,48,False,0.26710424377621017,60,0.0011790414228429042,100,1.0,49,COMPLETE
136,0.7333333333333333,2025-11-24 23:14:36.415910,2025-11-24 23:15:18.509580,0 days 00:00:42.093670,48,False,0.2795377995917142,64,0.00037827163862966793,100,1.0,49,COMPLETE
137,0.8,2025-11-24 23:14:46.227344,2025-11-24 23:15:28.244422,0 days 00:00:42.017078,48,False,0.2774131889280955,20,0.0012086198174452753,100,1.0,49,COMPLETE
138,0.5333333333333333,2025-11-24 23:14:52.340571,2025-11-24 23:16:31.050524,0 days 00:01:38.709953,16,False,0.40596543295083587,64,0.00044601851242697,100,1.0,49,COMPLETE
139,0.6,2025-11-24 23:15:18.544654,2025-11-24 23:17:15.496871,0 days 00:01:56.952217,16,True,0.3895033979428795,64,0.0003758779130438695,100,1.0,49,COMPLETE
140,0.5666666666666667,2025-11-24 23:15:28.279371,2025-11-24 23:16:13.931509,0 days 00:00:45.652138,48,True,0.276502200651511,20,0.0016701332466331148,100,1.0,49,COMPLETE
141,0.6,2025-11-24 23:16:13.963873,2025-11-24 23:16:58.919112,0 days 00:00:44.955239,48,False,0.2796380982831198,20,0.0012381145077293404,100,2.0,49,COMPLETE
142,0.0,2025-11-24 23:16:31.079516,2025-11-24 23:17:17.350711,0 days 00:00:46.271195,48,False,0.2812651129250024,20,0.0012338377746819447,100,2.0,56,COMPLETE
143,0.7333333333333333,2025-11-24 23:16:58.948547,2025-11-24 23:17:39.164346,0 days 00:00:40.215799,48,False,0.3913937337053519,64,0.00038147821603799173,100,1.0,49,COMPLETE
144,0.6666666666666666,2025-11-24 23:17:15.527313,2025-11-24 23:17:53.999689,0 days 00:00:38.472376,48,False,0.2957128819961041,24,0.0003737451335491975,100,1.0,49,COMPLETE
145,0.7333333333333333,2025-11-24 23:17:17.382516,2025-11-24 23:17:48.740036,0 days 00:00:31.357520,64,False,0.4582397692431324,68,0.0009448537338929941,100,1.0,49,COMPLETE
