pos_prob_mean;retorno_log_merval;retorno_log_dolar;prediccion
0.09901071241340385;-0.009696017606561469;0.017356911035939504;1.0
0.023406735585572627;0.025035026294286666;;1.0
0.06039441501100858;0.0429493331632429;0.04148358898699378;0.0
0.057783233001828194;-0.03304386691123895;0.01261846395921129;
0.057783233001828194;;;
0.09462946828372859;;;0.0
0.16347241151281866;-0.010257398110137927;0.0;1.0
0.19059513915547616;0.00822536170972299;0.01246122043781206;1.0
0.14443674646863328;0.055959756279870376;0.04005389775185897;1.0
0.16210879293270408;0.032040871075802;0.0;1.0
0.08504657883064023;0.02551849836476272;0.040226933508943574;
0.08881869752076454;;;
0.06769308845145167;;;1.0
0.11711388749868742;0.030863105440049665;0.07165598890643565;1.0
0.059404477859939575;0.07311726414621056;0.061875403718087085;1.0
0.04469447368731933;0.02645840288429646;0.0;1.0
0.06775956141731901;0.059765227360642825;-0.030459207484708095;
0.07564318552071791;;;
0.06582225998087475;;;
0.06345032305560178;;;
0.15010923286899924;;;1.0
0.3488690219819546;0.07958086477869486;0.005141399500418586;0.0
0.06848445001159267;-0.03054120365479207;-0.08561375272299188;0.0
0.1349186024865106;-0.044573356535279274;-0.005602255548669888;1.0
0.11380828269054445;0.046946284775616576;0.0;
0.07830441738233755;;;
0.09550614809375946;;;0.0
0.02437056502741244;-0.132817188082905;0.1888544778355774;0.0
0.09028255119082633;-0.06948347401323218;0.0;1.0
0.0716179317006698;0.04790769669043016;-0.08237099743312726;0.0
0.16004627267830074;-0.019326142335273744;-0.02040887163120697;0.0
0.18717233673151995;-0.026400904763304922;0.005141399500418586;
0.12710061255511979;;;
0.09213376382146687;;;0.0
0.03501044912263751;-0.1025112300072788;-0.015504186535965303;0.0
0.03501044912263751;-0.021424717847843056;-0.053488684950986354;1.0
0.15224663884346856;0.06209932753589342;-0.00550965581096996;1.0
0.06886646907736102;0.05959176193258564;0.010989121575595284;0.0
